clusters,inertia,silhouette_score
3,200769.97101471195,0.1489641537811485
4,186535.39575106243,0.16882458292197974
5,178156.43538375435,0.13723902012171152
6,165641.52948461726,0.13964015929232132
7,156230.4607240508,0.13893096752723583
8,150374.51865811934,0.13483378760076875
