cluster,style_label,cluster_size,win_rate,loss_rate,draw_rate,avg_elo,elo_change_proxy,avg_game_length,avg_capture_count,capture_game_rate,castle_rate,opening_diversity,top_opening_share,bullet_share,blitz_share,rapid_share,classical_share,clock_game_rate
0,Opening Explorers,47239,0.5014063460763696,0.45431352455249363,0.044280129371136824,1694.2306660071692,290.5698681174453,68.82967929482867,16.064129010943528,0.9872830002354095,0.8098493880116119,39.68528122949258,0.16553535548487994,0.042793848981200804,0.8876804853140017,0.06167460852798945,0.00357282554066504,0.0
1,Long-Game Grinders,39230,0.5034125521185243,0.45063013331040236,0.04595731457107343,1622.2009961832314,277.45312261024725,65.83409567276463,15.52991792117612,0.9848536318490531,0.731444194381913,28.905505990313536,0.19061681125612293,0.012498954036069813,0.07878506741797738,0.8562106568444091,0.03307653252216513,0.0
2,Opening Loyalists,24418,0.285785475388678,0.6873851746269611,0.02682934998436079,1321.119186328283,365.1598820542223,51.35430769883802,12.702712206599248,0.9520133583139246,0.47412459035703275,20.579613399950855,0.21685670172510246,0.10050357736997956,0.3417914669848744,0.47572026482192514,0.04762841402370731,0.0
3,Balanced Generalists,4578,0.4793034439302037,0.4713532534526493,0.04934330261714706,1508.06596892805,257.23853211009174,58.98966197014578,14.048607413670277,0.9710763558037295,0.6180803603623919,20.154434250764528,0.20289693151684643,0.008759861308259452,0.027293496502887333,0.16761643118834876,0.784695973753089,0.0
4,Bullet Specialists,15398,0.5116013708992888,0.4527951424103928,0.03560348669031841,1767.2024767653388,342.07111313157554,68.7098657881585,16.380932035375054,0.9882440592793901,0.814098715216026,46.38777763345889,0.18276215062806292,0.823773897387457,0.14565447665614067,0.026550038767566196,0.002132098694533438,0.0
